Country Name,Country Code,Year,Composite_Score,Grade,Continent
Canada,CAN,2022,0.604046461,A,North America
Chile,CHL,2022,0.525462093,B,South America
China,CHN,2022,0.491497666,B,Asia
Colombia,COL,2022,0.446210808,C,South America
"Congo, Rep.",COG,2022,0.317320028,D,Africa
Costa Rica,CRI,2022,0.523613173,B,North America
Cote d'Ivoire,CIV,2022,0.365822364,D,Africa
Croatia,HRV,2022,0.555854852,B,Europe
Cyprus,CYP,2022,0.57085107,A,Europe
Czechia,CZE,2022,0.590515843,A,Europe
Denmark,DNK,2022,0.675484456,A+,Europe
Dominican Republic,DOM,2022,0.471393664,C,North America
Ecuador,ECU,2022,0.432224399,C,South America
"Egypt, Arab Rep.",EGY,2022,0.405179139,D,Africa
El Salvador,SLV,2022,0.420806438,D,North America
Estonia,EST,2022,0.60164996,A,Europe
Finland,FIN,2022,0.62494881,A+,Europe
France,FRA,2022,0.565322936,B,Europe
"Gambia, The",GMB,2022,0.386519165,D,Africa
Georgia,GEO,2022,0.506744451,B,Asia
Germany,DEU,2022,0.603309852,A,Europe
Ghana,GHA,2022,0.427366315,C,Africa
Greece,GRC,2022,0.502611279,B,Europe
Guatemala,GTM,2022,0.402305377,D,North America
Guinea,GIN,2022,0.317552325,D,Africa
Guyana,GUY,2022,0.552749861,B,South America
Honduras,HND,2022,0.394555826,D,North America
"Hong Kong SAR, China",HKG,2022,0.699017817,A+,Asia
Hungary,HUN,2022,0.551623058,B,Europe
Iceland,ISL,2022,0.648443282,A+,Europe
India,IND,2022,0.440631874,C,Asia
Indonesia,IDN,2022,0.448918247,C,Asia
Iraq,IRQ,2022,0.398624361,D,Asia
Ireland,IRL,2022,0.698327368,A+,Europe
Israel,ISR,2022,0.550185205,B,Asia
Italy,ITA,2022,0.537522898,B,Europe
Jamaica,JAM,2022,0.507550282,B,North America
Japan,JPN,2022,0.623251896,A,Asia
Jordan,JOR,2022,0.493710331,B,Asia
Kazakhstan,KAZ,2022,0.486221386,C,Asia
Kenya,KEN,2022,0.346087568,D,Africa
"Korea, Rep.",KOR,2022,0.592468043,A,Asia
Kuwait,KWT,2022,0.582211829,A,Asia
Kyrgyz Republic,KGZ,2022,0.39974998,D,Asia
Latvia,LVA,2022,0.555027392,B,Europe
Lebanon,LBN,2022,0.379567914,D,Asia
Lithuania,LTU,2022,0.573977382,A,Europe
Luxembourg,LUX,2022,0.72197265,A+,Europe
"Macao SAR, China",MAC,2022,0.631310419,A+,Asia
Madagascar,MDG,2022,0.286943095,D,Africa
Malaysia,MYS,2022,0.565727288,B,Asia
Malta,MLT,2022,0.607155075,A,Europe
Mauritania,MRT,2022,0.334796463,D,Africa
Mauritius,MUS,2022,0.543040653,B,Africa
Mexico,MEX,2022,0.432170486,C,North America
Moldova,MDA,2022,0.430186011,C,Europe
Mongolia,MNG,2022,0.477898744,C,Asia
Montenegro,MNE,2022,0.493895681,B,Europe
Morocco,MAR,2022,0.467397025,C,Africa
Mozambique,MOZ,2022,0.260220576,D,Africa
Namibia,NAM,2022,0.437011803,C,Africa
Nepal,NPL,2022,0.399141426,D,Asia
Netherlands,NLD,2022,0.647897016,A+,Europe
New Zealand,NZL,2022,0.612972646,A,Oceania
Nicaragua,NIC,2022,0.379249665,D,North America
Nigeria,NGA,2022,0.280120578,D,Africa
North Macedonia,MKD,2022,0.500248725,B,Europe
Norway,NOR,2022,0.693666203,A+,Europe
Oman,OMN,2022,0.538486931,B,Asia
Pakistan,PAK,2022,0.307316692,D,Asia
Panama,PAN,2022,0.480467328,C,North America
Papua New Guinea,PNG,2022,0.302089114,D,Oceania
Paraguay,PRY,2022,0.436237811,C,South America
Peru,PER,2022,0.438303824,C,South America
Philippines,PHL,2022,0.446039272,C,Asia
Poland,POL,2022,0.545633427,B,Europe
Portugal,PRT,2022,0.566670738,B,Europe
Qatar,QAT,2022,0.660839662,A+,Asia
Romania,ROU,2022,0.509369585,B,Europe
Russian Federation,RUS,2022,0.463982876,C,Europe
Rwanda,RWA,2022,0.391013222,D,Africa
Samoa,WSM,2022,0.496372709,B,Oceania
Saudi Arabia,SAU,2022,0.596333067,A,Asia
Serbia,SRB,2022,0.48501895,C,Europe
Seychelles,SYC,2022,0.59885779,A,Africa
Singapore,SGP,2022,0.781175801,A+,Asia
Slovak Republic,SVK,2022,0.540617003,B,Europe
Slovenia,SVN,2022,0.585140894,A,Europe
Solomon Islands,SLB,2022,0.4130358,D,Oceania
South Africa,ZAF,2022,0.427301949,C,Africa
Spain,ESP,2022,0.55362377,B,Europe
Sri Lanka,LKA,2022,0.374065958,D,Asia
Suriname,SUR,2022,0.473159229,C,South America
Sweden,SWE,2022,0.632858657,A+,Europe
Switzerland,CHE,2022,0.720190084,A+,Europe
Thailand,THA,2022,0.491590465,B,Asia
Timor-Leste,TLS,2022,0.41087959,D,Asia
Trinidad and Tobago,TTO,2022,0.51600049,B,North America
Tunisia,TUN,2022,0.439264605,C,Africa
Turkiye,TUR,2022,0.441671165,C,Asia
Uganda,UGA,2022,0.286446026,D,Africa
Ukraine,UKR,2022,0.367568762,D,Europe
United Arab Emirates,ARE,2022,0.658504877,A+,Asia
United Kingdom,GBR,2022,0.586684025,A,Europe
United States,USA,2022,0.554204684,B,North America
Uruguay,URY,2022,0.586709469,A,South America
Uzbekistan,UZB,2022,0.467900206,C,Asia
Viet Nam,VNM,2022,0.500715112,B,Asia
West Bank and Gaza,PSE,2022,0.375474717,D,Asia
Zambia,ZMB,2022,0.353614226,D,Africa
Zimbabwe,ZWE,2022,0.280900711,D,Africa
Albania,ALB,2023,0.499393526,B,Europe
Algeria,DZA,2023,0.464456259,C,Africa
Angola,AGO,2023,0.345943298,D,Africa
Antigua and Barbuda,ATG,2023,0.531100864,B,North America
Argentina,ARG,2023,0.438937857,C,South America
Armenia,ARM,2023,0.461805053,C,Asia
Australia,AUS,2023,0.613025848,A,Oceania
Austria,AUT,2023,0.598781487,A,Europe
Azerbaijan,AZE,2023,0.454767381,C,Asia
